Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9074000,9857000,7002000,4487000
Depreciation & amortization,-,12084000,11685000,10740000
Change in working capital,-,925000,-5820000,-5520000
Other working capital,-,15028000,5539000,10827000
Other non-cash items,-,-2136000,1932000,2103000
Net cash provided by operating activites,-,22637000,15063000,14589000
Investments in property plant and equipment,-,-7609000,-9524000,-3762000
Purchases of investments,-,-9991000,-9270000,-10633000
Sales/Maturities of investments,-,10430000,9577000,10580000
Other investing activites,-,-275000,-263000,-2246000
Net cash used for investing activites,-,-7312000,-10030000,-5342000
Net change in cash,-,7943000,2349000,2172000
Cash at beginning of period,-,67856000,65506000,63903000
Cash at end of period,-,75799000,67856000,65506000
Operating Cash Flow,-,22637000,15063000,14589000
Capital Expenditure,-,-7609000,-9524000,-3762000
Free Cash Flow,-,15028000,5539000,10827000
