Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3577260,3096535,2932433,2300879
Liabilities,,,,
Total Liabilities,3060270,2709183,2567554,2024514
Stockholders' Equity,,,,
Common Stock,106,95,98,86
Retained Earnings,199005,144364,102391,68888
Accumulated other comprehensive income,4418,-5640,-2146,-2727
Total stockholders' equity,516262,386609,364178,275947
Total liabilities and stockholders' equity,3577260,3096535,2932433,2300879
