Breakdown,ttm,12/31/2019,12/31/2017
Total Revenue,0,0,0
Research Development,8822,8822,0
Selling General and Administrative,3165,3165,178.605
Total Operating Expenses,11988,11988,178.605
Operating Income or Loss,-11988,-11988,-178.605
Income Before Tax,-11870,-11870,-178.605
Income from Continuing Operations,-11870,-11870,-178.605
Net Income,-11870,-11870,-178.605
Net Income available to common shareholders,-36675,-36675,-178.605
Basic EPS,-,-,-0.01
Diluted EPS,-,-,-0.01
Basic Average Shares,-,-,17825
Diluted Average Shares,-,-,17825
