Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3481687,2736999,2160945,1231802
Liabilities,,,,
Total Liabilities,1567020,1439677,1024489,516408
Stockholders' Equity,,,,
Common Stock,1704374,897314,894509,538114
Retained Earnings,213101,186326,172405,166557
Total stockholders' equity,1914667,1084915,1068884,715394
Total liabilities and stockholders' equity,3481687,2736999,2160945,1231802
