Breakdown,10/31/2019,10/31/2018,10/31/2017
Total Assets,1247634,1235888,1287194
Liabilities,,,
Total Liabilities,429222,429545,418378
Stockholders' Equity,,,
Common Stock,866864,879599,876294
Retained Earnings,-11704,-7452,-11615
Total stockholders' equity,818412,806342,868817
Total liabilities and stockholders' equity,1247634,1235888,1287194
