Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,4719078,3729891,5256296,5146052
Depreciation & amortization,-,333335,299034,343838
Change in working capital,-,9242619,11133476,1710705
Other working capital,8537808,1200441,6363471,-3048058
Other non-cash items,-,1127782,429917,136897
Net cash provided by operating activites,13811338,5302332,6857116,-2754492
Investments in property plant and equipment,-5273530,-4101891,-493645,-293566
Acquisitions net,-10518423,-10333949,-1038798,-2820265
Purchases of investments,-136280444,-137925675,-140904703,-82002555
Sales/Maturities of investments,122829176,114007738,111668853,84525954
Net cash used for investing activites,-19779008,-31033388,-22209444,7298796
Net change in cash,-5053933,2085721,-3867611,-3873276
Cash at beginning of period,25638626,12068596,16670213,19872898
Cash at end of period,20584693,14701860,12068596,16670213
Operating Cash Flow,13811338,5302332,6857116,-2754492
Capital Expenditure,-5273530,-4101891,-493645,-293566
Free Cash Flow,8537808,1200441,6363471,-3048058
