Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,200044,200044,191381,171901,151345
Interest Expense,60163,60163,47699,29806,20470
Income Before Tax,107385,107385,98944,89634,77217
Income Tax Expense,20338,20338,18533,32304,25133
Income from Continuing Operations,87047,87047,80411,57330,52084
Net Income,87047,87047,80411,57330,52084
Net Income available to common shareholders,87047,87047,80411,57330,52084
Basic EPS,-,-,3.18,2.28,2.08
Diluted EPS,-,-,3.13,2.23,2.05
Basic Average Shares,-,-,25289,25181,25056
Diluted Average Shares,-,-,25728,25663,25461
