Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,122552,127942,126557,233884
Depreciation & amortization,-,251184,290931,280219
Change in working capital,-,-52733,20291,-95197
Inventory,-,-24248,5047,-75224
Other working capital,-,395924,400714,3850
Other non-cash items,-,6709,32950,104667
Net cash provided by operating activites,-,510594,557487,427903
Investments in property plant and equipment,-,-114670,-156773,-424053
Acquisitions net,-,-811,-,-
Purchases of investments,-,-5620,-978,-36428
Sales/Maturities of investments,-,10017,-,-
Other investing activites,-,14109,-32791,-38071
Net cash used for investing activites,-,-134396,-427210,-541370
Net change in cash,-,-86155,-198422,62910
Cash at beginning of period,-,709745,908167,845256
Cash at end of period,-,623589,709745,908167
Operating Cash Flow,-,510594,557487,427903
Capital Expenditure,-,-114670,-156773,-424053
Free Cash Flow,-,395924,400714,3850
