Attribute,Value
Previous Close,15.95
Open,16.64
Bid,16.50 x 1800
Ask,17.50 x 3200
Day's Range,16.60 - 17.33
52 Week Range,13.10 - 46.75
Volume,143950
Avg. Volume,209374
Net Assets,29.29M
NAV,17.20
PE Ratio (TTM),
Yield,0.00%
YTD Daily Total Return,6.92%
Beta (5Y Monthly),0.82
Expense Ratio (net),1.65%
Inception Date,2011-10-14
