Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-257.571,-396.804,-134.901,-,-0.193
Acquisitions net,-,-,6422,-,-
Other investing activites,-,-,-,-,74.519
Net cash used for investing activites,-257.571,-396.804,6288,-,78.871
Debt repayment,-,-,-1125,-,-
Common stock issued,-,-,5050,-,-
Net cash used privided by (used for) financing activities,-,320.003,4653,330,158.65
Net change in cash,272.74,-4585,6768,85.62,-1.877
Cash at beginning of period,4096,6557,-211.307,3.733,5.61
Cash at end of period,4368,1972,6557,89.353,3.733
Capital Expenditure,-257.571,-396.804,-134.901,-,-0.193
Free Cash Flow,-3497,-4905,-4307,-244.38,-239.591
