Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1993035,1662627,1441246,1383036
Depreciation & amortization,-,312623,282342,288403
Change in working capital,-,-201026,-69106,-256864
Inventory,-,-84888,76113,-95154
Other working capital,-,1652002,1678953,1234276
Other non-cash items,-,8392,62030,-10303
Net cash provided by operating activites,-,1838103,1837972,1313134
Investments in property plant and equipment,-,-186101,-159019,-78858
Acquisitions net,-,-800000,-,-
Purchases of investments,-,-,-,-103642
Sales/Maturities of investments,-,-,16600,48300
Other investing activites,-,-99541,47907,-47761
Net cash used for investing activites,-,-1085642,-94512,-181961
Net change in cash,-,-496074,1259366,-709012
Cash at beginning of period,-,6364008,5104641,5863858
Cash at end of period,-,5867934,6364008,5104641
Operating Cash Flow,-,1838103,1837972,1313134
Capital Expenditure,-,-186101,-159019,-78858
Free Cash Flow,-,1652002,1678953,1234276
