Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,2201874,1739939,1215041
Liabilities,,,
Total Liabilities,1713108,1393390,998314
Stockholders' Equity,,,
Common Stock,6,257906,267993
Retained Earnings,76679,52662,-70732
Accumulated other comprehensive income,-162,-132,-142
Total stockholders' equity,488766,346549,216727
Total liabilities and stockholders' equity,2201874,1739939,1215041
