Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-957,-957,-493,-1214,-1085
Acquisitions net,-919,-919,-1228,-3011,-3043
Purchases of investments,-4092,-4092,-,-,-3946
Sales/Maturities of investments,-,-,6830,16053,3279
Other investing activites,-,-,-3824,-542,4014
Net cash used for investing activites,-4042,-4042,11674,14162,123
Debt repayment,-622,-622,-49858,-39693,-31250
Dividends Paid,-3193,-3193,-1305,-8394,-9600
Other financing activites,-,-,-30,244,203
Net cash used privided by (used for) financing activities,-2647,-2647,-12860,-20208,-10149
Net change in cash,-740,-740,3608,1940,257
Cash at beginning of period,10998,10998,8284,6344,6087
Cash at end of period,10258,10258,10998,8284,6344
Capital Expenditure,-957,-957,-493,-1214,-1085
Free Cash Flow,4992,4992,4301,6772,9198
