Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-882,-882,-430,-423,-674
Acquisitions net,-450,-450,-6725,-45232,-87631
Purchases of investments,-,-,-,-,-175
Other investing activites,-4500,-4500,-1000,1660,784
Net cash used for investing activites,-5000,-5000,-7664,-43995,-87685
Debt repayment,-,-,-88252,-32000,-3500
Common stock issued,-,-,76380,-,66915
Common stock repurchased,-,-,-,-,-1088
Dividends Paid,-82051,-82051,-51009,-38602,-20923
Other financing activites,1023,1023,-721,2646,359
Net cash used privided by (used for) financing activities,-74128,-74128,-63602,-45956,142258
Net change in cash,23983,23983,-17027,-20963,99327
Cash at beginning of period,81477,81477,98504,119483,20156
Cash at end of period,105460,105460,81477,98520,119483
Capital Expenditure,-882,-882,-430,-423,-674
Free Cash Flow,102229,102229,53809,68565,44080
