Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,168923,178116,326060,283628,137183
Selling General and Administrative,32651,33629,26197,31822,31526
Total Operating Expenses,33980,33629,26197,30722,33821
Interest Expense,153295,157231,155039,164848,167719
Income Before Tax,134943,144487,299863,252906,103362
Income from Continuing Operations,134943,144487,299863,252906,103362
Net Income,134943,144487,299863,252906,103362
Net Income available to common shareholders,134943,144487,299863,252906,103362
Basic EPS,-,0.39,0.83,0.70,0.29
Diluted EPS,-,0.39,0.83,0.70,0.29
Basic Average Shares,-,370479,361281,361294,356134
Diluted Average Shares,-,370479,361281,361294,356134
