Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2463566,2207420,2066105,1618650
Liabilities,,,,
Total Liabilities,38327,8673,27807,14997
Stockholders' Equity,,,,
Common Stock,1753840,1560243,1441048,1029387
Retained Earnings,488918,456023,414769,391785
Total stockholders' equity,2425239,2198747,2038298,1603653
Total liabilities and stockholders' equity,2463566,2207420,2066105,1618650
