Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,508159,458492,376988,278703
Liabilities,,,,
Total Liabilities,198356,182739,121415,125285
Stockholders' Equity,,,,
Common Stock,230,230,230,-
Retained Earnings,218480,183946,152865,139591
Accumulated other comprehensive income,5612,6376,15998,10305
Total stockholders' equity,306304,272490,252395,149896
Total liabilities and stockholders' equity,508159,458492,376988,278703
