Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-13662,-13048,-15308,-11459,-4754
Acquisitions net,-,-,-,-79760,-5008
Sales/Maturities of investments,-,-,-,2051,-
Other investing activites,-,177,-155,13029,-5674
Net cash used for investing activites,-18099,-9910,-15463,-76139,-15436
Debt repayment,-31838,-35000,-15000,-,-
Common stock issued,-,50590,-,-,12880
Common stock repurchased,-,-2453,-,-,-10470
Dividends Paid,-,-,-10750,-17149,-5351
Other financing activites,-,-,-,-3838,-
Net cash used privided by (used for) financing activities,22087,13137,-18700,79013,-2941
Net change in cash,13812,20873,-8290,4680,-1633
Cash at beginning of period,25850,9778,18068,13388,15021
Cash at end of period,39662,30651,9778,18068,13388
Capital Expenditure,-13662,-13048,-15308,-11459,-4754
Free Cash Flow,-3838,4598,10565,-9653,11990
