Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,162858,155158,150860,141630
Selling General and Administrative,148718,145767,142146,136122
Total Operating Expenses,148718,145767,142146,136122
Operating Income or Loss,14140,9391,8714,5508
Interest Expense,570,76,18,64
Income Before Tax,14030,11030,11447,8799
Income Tax Expense,2465,2026,2715,2539
Income from Continuing Operations,11565,9004,8732,6260
Net Income,11565,9004,8732,6260
Net Income available to common shareholders,11565,9004,8732,6260
Basic EPS,-,0.18,0.17,0.12
Diluted EPS,-,0.17,0.17,0.12
Basic Average Shares,-,50745,50682,50683
Diluted Average Shares,-,51730,51563,50724
