Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,509235000,479419000,460623000,-28976000
Depreciation & amortization,-,269669000,279332000,270437000
Change in working capital,-,-2683784000,-2000073000,-1060054000
Other working capital,-,-3914025000,-2625030000,-1318005000
Other non-cash items,-,-2392579000,-2552866000,-2484137000
Net cash provided by operating activites,-,-3609800000,-2337394000,-991123000
Investments in property plant and equipment,-,-304225000,-287636000,-326882000
Acquisitions net,-,-656000,-425000,-65000
Purchases of investments,-,-26991047000,-30159983000,-29814974000
Sales/Maturities of investments,-,31533551000,31270036000,34193057000
Other investing activites,-,-341942000,-1239109000,1227774000
Net cash used for investing activites,-,5186043000,99012000,6300698000
Net change in cash,-,1465761000,-2531367000,5082949000
Cash at beginning of period,-,50694528000,53225675000,48141158000
Cash at end of period,-,52160289000,50694528000,53225675000
Operating Cash Flow,-,-3609800000,-2337394000,-991123000
Capital Expenditure,-,-304225000,-287636000,-326882000
Free Cash Flow,-,-3914025000,-2625030000,-1318005000
