Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1288,-767.517,-610.654,-871.136,-390.932
Purchases of investments,-,-,-5,-11.1,-4372
Other investing activites,-,216.083,-,-,72.904
Net cash used for investing activites,-1188,-551.434,-615.654,-882.236,-4690
Common stock issued,-,500,-,1341,-
Common stock repurchased,-,-23.477,-,-23.87,-4027
Net cash used privided by (used for) financing activities,-,476.523,-,1317,-4027
Net change in cash,-1823,-804.897,-1113,107.166,-9238
Cash at beginning of period,3344,3552,4665,4558,9425
Cash at end of period,1521,2748,3552,4665,186.597
Capital Expenditure,-1288,-767.517,-610.654,-871.136,-390.932
Free Cash Flow,-1923,-1498,-1108,-1199,-911.991
