Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,28449000,24616000,23581000,21861000
Depreciation & amortization,14200000,8851000,8820000,8438000
Change in working capital,-17648000,-13147000,-21961000,-12634000
Inventory,-3862000,-2309000,-1432000,-5704000
Other working capital,20130000,15612000,6481000,16013000
Other non-cash items,193000,-1335000,2823000,7207000
Net cash provided by operating activites,27027000,20622000,11014000,25203000
Investments in property plant and equipment,-6897000,-5010000,-4533000,-9190000
Acquisitions net,-10539000,-504000,-464000,-
Purchases of investments,-932000,-963000,-398000,-201000
Sales/Maturities of investments,-,3000,10000,0
Other investing activites,3238000,3214000,1876000,-4952000
Net cash used for investing activites,-15114000,-3235000,-2306000,-14158000
Net change in cash,-2207000,7875000,2790000,3333000
Cash at beginning of period,61238000,51003000,48213000,44880000
Cash at end of period,58987000,58878000,51003000,48213000
Operating Cash Flow,27027000,20622000,11014000,25203000
Capital Expenditure,-6897000,-5010000,-4533000,-9190000
Free Cash Flow,20130000,15612000,6481000,16013000
