Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-2883,-2013,-186,-201
Acquisitions net,-11497,-5598,-,-
Purchases of investments,-,-,-372,-
Net cash used for investing activites,-14500,-7611,-558,-201
Common stock issued,35785,16585,15000,12000
Common stock repurchased,-2318,-1076,-790,-1453
Net cash used privided by (used for) financing activities,33041,15509,14210,16736
Net change in cash,13853,1345,12761,10714
Cash at beginning of period,13283,23782,11021,307
Cash at end of period,27136,25127,23782,11021
Capital Expenditure,-2883,-2013,-186,-201
Free Cash Flow,-7571,-8566,-1077,-6022
