Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,14905000,12895000,12347000,9245000
Liabilities,,,,
Total Liabilities,7438000,5595000,5249000,4080000
Stockholders' Equity,,,,
Common Stock,0,0,0,0
Retained Earnings,-293000,127000,-81000,37000
Total stockholders' equity,7467000,7300000,7098000,5165000
Total liabilities and stockholders' equity,14905000,12895000,12347000,9245000
