Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,2253872000,2223842000,2151367000
Liabilities,,,
Total Liabilities,2094972000,2069926000,2001963000
Stockholders' Equity,,,
Common Stock,22725000,22725000,22725000
Retained Earnings,103978000,98421000,93284000
Total stockholders' equity,156320000,151500000,144013000
Total liabilities and stockholders' equity,2253872000,2223842000,2151367000
