Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3998000,5127000,3848000,3800000
Depreciation & amortization,14596000,14068000,13537000,12848000
Change in working capital,-16145000,-16874000,-14548000,-14053000
Inventory,-1317000,-644000,322000,-58000
Other working capital,-1470000,-1762000,-439000,-2758000
Other non-cash items,-1104000,167000,28000,-106000
Net cash provided by operating activites,1426000,909000,2358000,2002000
Investments in property plant and equipment,-2896000,-2671000,-2797000,-4760000
Acquisitions net,-,-,-302000,-
Purchases of investments,-28000,-266000,-428000,-20000
Sales/Maturities of investments,157000,100000,762000,179000
Other investing activites,-2444000,-2485000,81000,-92000
Net cash used for investing activites,-5205000,-5299000,-1328000,-3351000
Net change in cash,2271000,819000,-153000,51000
Cash at beginning of period,1954000,1382000,1535000,1484000
Cash at end of period,4237000,2201000,1382000,1535000
Operating Cash Flow,1426000,909000,2358000,2002000
Capital Expenditure,-2896000,-2671000,-2797000,-4760000
Free Cash Flow,-1470000,-1762000,-439000,-2758000
