Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-109.144,-88.58,-84.76,-33.902,-567.96
Purchases of investments,-,-,-,-18.081,-
Other investing activites,-,-731.466,65.517,109.803,-4172
Net cash used for investing activites,-114.364,-820.046,-18.278,226.422,-4355
Debt repayment,-,-35,-,-737.087,-
Common stock issued,20949,3112,2056,7400,6942
Common stock repurchased,-1367,-203.856,-17.356,-550.877,-193.56
Other financing activites,-67.726,-13.538,-12.868,-118.807,-
Net cash used privided by (used for) financing activities,18851,3481,2026,5994,6749
Net change in cash,20114,-243.286,-178.16,1059,-974.672
Cash at beginning of period,3204,2505,2684,1719,2751
Cash at end of period,23318,2267,2505,2684,1719
Capital Expenditure,-109.144,-88.58,-84.76,-33.902,-567.96
Free Cash Flow,1269,-2993,-2271,-5195,-3936
