Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-20002,-20002,-15907,-12467,-17272
Acquisitions net,-13481,-13481,-1000,-1000,-5767
Purchases of investments,-35437,-35437,-36155,-19860,-37208
Sales/Maturities of investments,41134,41134,31289,40925,15619
Net cash used for investing activites,-27786,-27786,-21773,7969,-44475
Common stock repurchased,-2122,-2122,-,-,-
Dividends Paid,-123422,-123422,-125750,-121094,-116436
Net cash used privided by (used for) financing activities,-125544,-125544,-125750,-121094,-116436
Net change in cash,-20650,-20650,-3250,45257,-11126
Cash at beginning of period,320237,320237,323487,278230,289356
Cash at end of period,299587,299587,320237,323487,278230
Capital Expenditure,-20002,-20002,-15907,-12467,-17272
Free Cash Flow,112678,112678,128366,145915,132513
