Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1151820,1098100,1308516,458128
Depreciation & amortization,-,70999,71395,72499
Change in working capital,-,-394392,164995,14570
Inventory,-,-400305,288067,522415
Other working capital,-,605616,1457734,649564
Other non-cash items,-,71,95,-1923
Net cash provided by operating activites,-,704255,1517084,695462
Investments in property plant and equipment,-,-98639,-59350,-45898
Purchases of investments,-,-120186,-,-
Other investing activites,-,-28370,-109285,-120071
Net cash used for investing activites,-,-247195,-168635,-165969
Net change in cash,-,71175,978559,159118
Cash at beginning of period,-,7129237,6150678,5991560
Cash at end of period,-,7200412,7129237,6150678
Operating Cash Flow,-,704255,1517084,695462
Capital Expenditure,-,-98639,-59350,-45898
Free Cash Flow,-,605616,1457734,649564
