Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-17.497,-15.706,-35.175
Other investing activites,-,-,8.585
Net cash used for investing activites,-5.511,-3.72,-26.59
Debt repayment,-,-,-569.79
Common stock issued,-,2805,7836
Common stock repurchased,-135.411,-293.447,-673.525
Net cash used privided by (used for) financing activities,1212,2511,6592
Net change in cash,-950.547,-744.025,1543
Cash at beginning of period,2494,3286,1743
Cash at end of period,1544,2542,3286
Capital Expenditure,-17.497,-15.706,-35.175
Free Cash Flow,-2175,-3267,-5058
