Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,153007000,104562000,169340000,88489000
Depreciation & amortization,201100000,158106000,169749000,188297000
Change in working capital,-87571000,-71781000,-55714000,-11795000
Inventory,-43026000,-20481000,-10593000,-715000
Other working capital,172046000,-21221000,65410000,51834000
Other non-cash items,82994000,82341000,-171000,-4876000
Net cash provided by operating activites,299860000,99416000,200415000,250331000
Investments in property plant and equipment,-127814000,-120637000,-135005000,-198497000
Sales/Maturities of investments,30058000,77941000,41883000,2524000
Other investing activites,1963000,3116000,-3990000,25309000
Net cash used for investing activites,-57514000,4142000,-22578000,-145479000
Cash at beginning of period,383565000,452671000,383969000,380810000
Cash at end of period,508230000,416742000,452671000,383969000
Operating Cash Flow,299860000,99416000,200415000,250331000
Capital Expenditure,-127814000,-120637000,-135005000,-198497000
Free Cash Flow,172046000,-21221000,65410000,51834000
