Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4022000,4013000,3248000,3063000
Depreciation & amortization,-,607000,593000,629000
Change in working capital,-,-959000,-335000,1626000
Inventory,-,-1386000,349000,494000
Other working capital,-,1539000,3416000,5457000
Other non-cash items,-,-376000,515000,249000
Net cash provided by operating activites,-,3455000,4160000,5756000
Investments in property plant and equipment,-,-1916000,-744000,-299000
Acquisitions net,-,-,-612000,-
Purchases of investments,-,-1442000,-2049000,-2663000
Sales/Maturities of investments,-,1545000,1752000,1652000
Other investing activites,-,-58000,-133000,-143000
Net cash used for investing activites,-,-2808000,-1451000,-1453000
Net change in cash,-,200000,1859000,3476000
Cash at beginning of period,-,13323000,11464000,7987000
Cash at end of period,-,13523000,13323000,11464000
Operating Cash Flow,-,3455000,4160000,5756000
Capital Expenditure,-,-1916000,-744000,-299000
Free Cash Flow,-,1539000,3416000,5457000
