Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,1611547,1654736,1406850
Liabilities,,,
Total Liabilities,209959,151870,163056
Stockholders' Equity,,,
Common Stock,5713,5713,5713
Total stockholders' equity,1401588,1502866,1243794
Total liabilities and stockholders' equity,1611547,1654736,1406850
