Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-25809,-25809,-45200,8035,5207
Depreciation & amortization,-,-,49.934,49.934,61.726
Change in working capital,-,-,2701,-34198,-50143
Other working capital,-,-,404.449,-29956,-46422
Other non-cash items,-,-,10054,-6615,-8775
Net cash provided by operating activites,-,-,404.449,-29956,-46276
Investments in property plant and equipment,-,-,-,-,-145.67
Acquisitions net,-,-,-,-,0
Purchases of investments,-,-,0,-2917,-39875
Sales/Maturities of investments,-,-,5000,25588,30000
Net cash used for investing activites,-,-,5000,22672,-9851
Net change in cash,-,-,5404,28426,-56127
Cash at beginning of period,-,-,41590,13164,69291
Cash at end of period,-,-,46994,41590,13164
Operating Cash Flow,-,-,404.449,-29956,-46276
Capital Expenditure,-,-,-,-,-145.67
Free Cash Flow,-,-,404.449,-29956,-46422
