Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,93800,93800,103200,97100,67000
Depreciation & amortization,84200,84200,65700,64300,59700
Stock based compensation,1100,1100,3800,7800,500
Change in working capital,-7300,-7300,-6500,-8400,-8900
Inventory,-1500,-1500,-3900,500,5500
Other working capital,98600,98600,89100,81400,55200
Other non-cash items,4700,4700,1900,2400,2600
Net cash provided by operating activites,177300,177300,173300,159900,125900
Investments in property plant and equipment,-78700,-78700,-84200,-78500,-70700
Acquisitions net,-19100,-19100,-8300,-14200,-23700
Purchases of investments,-,-,-,-,0
Sales/Maturities of investments,-,-,-,0,300
Other investing activites,-,-,-,-,0
Net cash used for investing activites,-90400,-90400,-81600,-89000,-84600
Net change in cash,-15200,-15200,-3100,33200,-6500
Cash at beginning of period,36200,36200,39600,6200,12400
Cash at end of period,20900,20900,36200,39600,6200
Operating Cash Flow,177300,177300,173300,159900,125900
Capital Expenditure,-78700,-78700,-84200,-78500,-70700
Free Cash Flow,98600,98600,89100,81400,55200
