Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-6026,-6026,-4859,-6020,-2274
Purchases of investments,-,-,-948,-948,-
Sales/Maturities of investments,1049,1049,813,-,-
Net cash used for investing activites,-4977,-4977,-4994,-6923,-2274
Debt repayment,-20445,-20445,-12640,-,-
Common stock issued,-,-,-,-,23062
Common stock repurchased,-,-,-,-,-500
Other financing activites,-116,-116,-1919,-1997,-1879
Net cash used privided by (used for) financing activities,25580,25580,-1138,-632,20683
Net change in cash,534,534,1885,-14562,9214
Cash at beginning of period,3554,3554,2011,17109,7074
Cash at end of period,4716,4716,3554,2011,17109
Capital Expenditure,-6026,-6026,-4859,-6020,-2274
Free Cash Flow,-26095,-26095,3158,-13027,-11469
