Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,197846000,194147000,193914000,188045000
Selling General and Administrative,88424000,89113000,91193000,90368000
Total Operating Expenses,121910000,117427000,118908000,115746000
Interest Expense,25105000,25127000,18925000,16589000
Income Before Tax,71572000,72221000,77089000,76606000
Income Tax Expense,21512000,21743000,23293000,23876000
Income from Continuing Operations,50060000,50478000,53796000,52730000
Net Income,50060000,50478000,53796000,52730000
Net Income available to common shareholders,50060000,50478000,53796000,52730000
Basic EPS,-,65.30,67.98,65.32
Diluted EPS,-,65.23,67.91,65.25
Basic Average Shares,-,772954,791243,807250
Diluted Average Shares,-,773846,792166,808123
