Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-48398,-48398,-431435,-170744,-111189
Depreciation & amortization,-,-,-,32986,32015
Stock based compensation,-,-,-,6395,9613
Change in working capital,-,-,-,-180919,-158547
Inventory,-,-,-,-15993,-4363
Other working capital,-,-,-,-363270,-205624
Other non-cash items,-,-,-,-9180,-2655
Net cash provided by operating activites,-,-,-,-331593,-186344
Investments in property plant and equipment,-,-,-,-31677,-19280
Acquisitions net,-,-,-,-95327,-103979
Purchases of investments,-,-,-,-1038890,-
Sales/Maturities of investments,-,-,-,910845,926
Other investing activites,-,-,-,-2252,-121496
Net cash used for investing activites,-,-,-,-118262,-225443
Net change in cash,-,-,-,-390507,-355771
Cash at beginning of period,-,-,-,614462,968757
Cash at end of period,-,-,-,222691,614462
Operating Cash Flow,-,-,-,-331593,-186344
Capital Expenditure,-,-,-,-31677,-19280
Free Cash Flow,-,-,-,-363270,-205624
