Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-24,-133,-224,-363,-163
Net cash used for investing activites,55,-133,-224,-265,-114
Debt repayment,-935,-866,-77,-1845,-
Common stock issued,-,1483,150,2702,1881
Common stock repurchased,-16,-98,-,-189,-138
Net cash used privided by (used for) financing activities,-97,1673,673,1918,1743
Net change in cash,-187,89,-1106,846,-622
Cash at beginning of period,1027,627,1733,887,1509
Cash at end of period,840,716,627,1733,887
Capital Expenditure,-24,-133,-224,-363,-163
Free Cash Flow,-169,-1584,-1779,-1170,-2414
