Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,46163,46163,43359,41346,40889
Interest Expense,6757,6757,5365,3585,3191
Income Before Tax,12115,12115,11594,3472,11275
Income Tax Expense,1453,1453,1168,-897,2314
Income from Continuing Operations,10662,10662,10426,4369,8961
Net Income,10662,10662,10426,4369,8961
Net Income available to common shareholders,10662,10662,10426,4369,8961
Basic EPS,-,-,2.29,0.97,2.03
Diluted EPS,-,-,2.28,0.96,2.00
Basic Average Shares,-,-,4568,4482,4407
Diluted Average Shares,-,-,4584,4560,4482
