Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-926000,-840000,65000,146000
Depreciation & amortization,-,329000,313000,413000
Change in working capital,-,-67000,84000,733000
Inventory,-,-106000,-114000,920000
Other working capital,-,-134000,-74000,2100000
Other non-cash items,-,221000,87000,288000
Net cash provided by operating activites,-,105000,156000,2340000
Investments in property plant and equipment,-,-239000,-230000,-240000
Acquisitions net,-,-182000,-,-
Sales/Maturities of investments,-,3000,-,-
Other investing activites,-,-7000,9000,11000
Net cash used for investing activites,-,-414000,-193000,-229000
Net change in cash,-,3000,-727000,294000
Cash at beginning of period,-,1176000,1903000,1608000
Cash at end of period,-,1179000,1176000,1903000
Operating Cash Flow,-,105000,156000,2340000
Capital Expenditure,-,-239000,-230000,-240000
Free Cash Flow,-,-134000,-74000,2100000
