Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-6095000,-5022000,3528000,5195000
Depreciation & amortization,31447000,29781000,28766000,26664000
Change in working capital,5472000,1213000,-2379000,271000
Inventory,-469000,-3811000,-3459000,-2052000
Other working capital,9892000,1484000,1477000,-154000
Other non-cash items,1230000,1047000,986000,1038000
Net cash provided by operating activites,38746000,31462000,31622000,33161000
Investments in property plant and equipment,-28854000,-29978000,-30145000,-33315000
Sales/Maturities of investments,-,1464000,2347000,-
Other investing activites,-147000,-190000,-30000,-101000
Net cash used for investing activites,-26791000,-28251000,-27445000,-32534000
Net change in cash,-5546000,-3602000,-1881000,12873000
Cash at beginning of period,40232000,41973000,43854000,30981000
Cash at end of period,32644000,38371000,41973000,43854000
Operating Cash Flow,38746000,31462000,31622000,33161000
Capital Expenditure,-28854000,-29978000,-30145000,-33315000
Free Cash Flow,9892000,1484000,1477000,-154000
