Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1438255,1438255,782739,1797466,1713851
Depreciation & amortization,1941956,1941956,1468446,1155319,959416
Change in working capital,-653208,-653208,-134301,-1434469,-1399198
Other working capital,3629253,3629253,1367981,1363895,1508543
Other non-cash items,1352020,1352020,1309757,1198541,1862300
Net cash provided by operating activites,4995005,4995005,3685677,3339705,4186220
Investments in property plant and equipment,-1365752,-1365752,-2317696,-1975810,-2677677
Acquisitions net,-91024,-91024,-165134,-38857,0
Purchases of investments,-1964161,-1964161,-,-1979607,-
Sales/Maturities of investments,-,-,233375,-,-
Other investing activites,-,-,-20417,-78436,-47294
Net cash used for investing activites,-3315084,-3315084,-2296104,-4136080,-2783997
Net change in cash,-3885,-3885,-1568129,14006,524800
Cash at beginning of period,1267097,1267097,2835226,2821220,2296420
Cash at end of period,1263212,1263212,1267097,2835226,2821220
Operating Cash Flow,4995005,4995005,3685677,3339705,4186220
Capital Expenditure,-1365752,-1365752,-2317696,-1975810,-2677677
Free Cash Flow,3629253,3629253,1367981,1363895,1508543
