Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,53878,53878,50025,48206,48024
Interest Expense,10929,10929,7603,5581,4135
Income Before Tax,21042,21042,21420,21282,22539
Income Tax Expense,3848,3848,4406,7585,6805
Income from Continuing Operations,17194,17194,17014,13697,15735
Net Income,17194,17194,17014,13697,15735
Net Income available to common shareholders,17194,17194,17014,13697,15735
Basic EPS,-,-,1.83,1.47,1.69
Diluted EPS,-,-,1.83,1.47,1.69
Basic Average Shares,-,-,9297,9318,9311
Diluted Average Shares,-,-,9297,9318,9311
