Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,14651000,17891000,19526000,21356000
Depreciation & amortization,15265000,13107000,10774000,8067000
Change in working capital,-1724000,-526000,-2643000,-1716000
Inventory,-859000,-1826000,-2830000,-796000
Other working capital,8040000,7842000,11435000,12400000
Other non-cash items,-979000,-1514000,53000,768000
Net cash provided by operating activites,28097000,28182000,29289000,28093000
Investments in property plant and equipment,-20057000,-20340000,-17854000,-15693000
Purchases of investments,-,-,-11636000,-5385000
Sales/Maturities of investments,-,-,21844000,26943000
Other investing activites,-85000,-448000,-22432000,-16450000
Net cash used for investing activites,-20204000,-31154000,-30078000,-10585000
Net change in cash,-5006000,-17074000,-12560000,6491000
Cash at beginning of period,51678000,69396000,81884000,75392000
Cash at end of period,46926000,52322000,69323000,81884000
Operating Cash Flow,28097000,28182000,29289000,28093000
Capital Expenditure,-20057000,-20340000,-17854000,-15693000
Free Cash Flow,8040000,7842000,11435000,12400000
