Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,566.577,425.087,-,36.414,-140.302
Interest Expense,-,-,-,-,140.462
Income Before Tax,-5862,-2326,-602.372,2336,-1287
Income Tax Expense,0,0,0,0,0
Income from Continuing Operations,-5862,-2326,-602.372,2336,-1287
Net Income,-5862,-2326,-602.372,2336,-1287
Net Income available to common shareholders,-5862,-2326,-602.372,2336,-1287
Basic EPS,-,-0.03,-0.01,0.39,-0.87
Diluted EPS,-,-0.03,-0.01,0.39,-0.87
Basic Average Shares,-,81250,40217,5938,1479
Diluted Average Shares,-,81250,40217,5938,1479
