Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,43818000,53132000,72813000,53235000
Depreciation & amortization,-,46752000,39069000,35237000
Change in working capital,-,-9065000,67847000,-57845000
Inventory,-,-11474000,-22085000,-61495000
Other working capital,-,4551000,82734000,-71345000
Other non-cash items,-,13534000,15301000,14527000
Net cash provided by operating activites,-,90450000,192634000,47625000
Investments in property plant and equipment,-,-85899000,-109900000,-118970000
Acquisitions net,-,-1240000,-3623000,-1240000
Purchases of investments,-,-1476000,-1490000,-1830000
Sales/Maturities of investments,-,659000,580000,8423000
Other investing activites,-,-134000,271000,383000
Net cash used for investing activites,-,-84521000,-96432000,-112038000
Net change in cash,-,-14480000,19021000,-55408000
Cash at beginning of period,-,55148000,36126000,89418000
Cash at end of period,-,40667000,55148000,36126000
Operating Cash Flow,-,90450000,192634000,47625000
Capital Expenditure,-,-85899000,-109900000,-118970000
Free Cash Flow,-,4551000,82734000,-71345000
