Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2827,-2548,-3659,-2541,-3875
Other investing activites,-,-,-,-,9.35
Net cash used for investing activites,-2827,-2548,-3659,-2534,-3856
Common stock issued,2456,2233,1548,6097,4485
Other financing activites,-,1762,-,-,-
Net cash used privided by (used for) financing activities,4907,3995,1548,6097,4485
Net change in cash,1386,583.713,-2372,2980,-56.93
Cash at beginning of period,616.018,789.315,3131,151.753,208.81
Cash at end of period,2002,1377,789.315,3131,151.753
Capital Expenditure,-2827,-2548,-3659,-2541,-3875
Free Cash Flow,-3521,-3411,-3920,-3122,-4561
