Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,18539,18539,18747,16856,13004
Interest Expense,6990,6990,5398,3446,2247
Income Before Tax,5770,5770,6646,4490,1814
Income Tax Expense,1667,1667,1811,1768,653
Income from Continuing Operations,4103,4103,4835,2722,1161
Net Income,4103,4103,4835,2722,1161
Net Income available to common shareholders,4103,4103,4835,2722,1161
Basic EPS,-,-,0.90,0.49,0.21
Diluted EPS,-,-,0.90,0.49,0.20
Basic Average Shares,-,-,5372,5555,5646
Diluted Average Shares,-,-,5372,5555,5723
