Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-26200,-26700,-29000,-24600,-24200
Acquisitions net,-,-,-9200,-5900,-186800
Purchases of investments,-,-,-,-1700,-
Other investing activites,-282100,-350300,-304100,-159000,-58300
Net cash used for investing activites,-308300,-377000,-342300,-191200,-269300
Debt repayment,-293100,-234000,-168800,-150800,-
Common stock issued,-,25100,-,-,144400
Common stock repurchased,-,-100,-200,-,-800
Dividends Paid,-29600,-28800,-28800,-36900,-54300
Other financing activites,-,3500,-16000,-400,-100
Net cash used privided by (used for) financing activities,192200,225000,117000,23200,164800
Net change in cash,47400,13400,-36600,-7000,42900
Cash at beginning of period,117500,128200,167300,174400,130300
Cash at end of period,164900,143100,128200,167300,174400
Capital Expenditure,-26200,-26700,-29000,-24600,-24200
Free Cash Flow,137300,138700,159700,136400,123200
