Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-269688,-250319,-194448,-134763,-157755
Sales/Maturities of investments,274542,277744,170039,147875,148734
Other investing activites,-1124,-22,-635,-17,-11062
Net cash used for investing activites,3730,27403,-25044,13095,-20083
Common stock repurchased,-22,-22,-21,-28,-
Dividends Paid,-38986,-38758,-38546,-49769,-56833
Other financing activites,-,-,-,-,1500
Net cash used privided by (used for) financing activities,-41508,-37780,-13567,-41797,-55333
Net change in cash,-1804,27186,-6353,7424,-41013
Cash at beginning of period,4411,2025,8378,954,41967
Cash at end of period,2607,29211,2025,8378,954
Free Cash Flow,35974,37563,32258,36126,34403
