Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,101545,101545,94358,82162,62676
Interest Expense,27057,27057,16170,8784,6863
Income Before Tax,-4850,-4850,10205,5986,4826
Income Tax Expense,-1350,-1350,1578,-2919,-119
Income from Continuing Operations,-3500,-3500,8627,8905,4945
Net Income,-3500,-3500,8627,8905,4945
Net Income available to common shareholders,-3500,-3500,8627,8905,4945
Basic EPS,-,-,0.15,0.16,0.13
Diluted EPS,-,-,0.15,0.15,0.12
Basic Average Shares,-,-,58358,56933,39281
Diluted Average Shares,-,-,59407,58250,39865
