Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,11018000,9142000,10019000,9223000
Depreciation & amortization,7265000,6394000,5574000,5617000
Change in working capital,94000,-846000,718000,-177000
Inventory,-135000,-595000,-235000,-813000
Other working capital,15410000,10774000,11258000,8161000
Other non-cash items,269000,-275000,-412000,67000
Net cash provided by operating activites,20460000,15719000,16750000,13734000
Investments in property plant and equipment,-5050000,-4945000,-5492000,-5573000
Acquisitions net,-,-2112000,-168000,-62000
Purchases of investments,-6491000,-11449000,-12146000,-10709000
Sales/Maturities of investments,7583000,12071000,11221000,11711000
Other investing activites,-192000,-158000,14000,-77000
Net cash used for investing activites,-4131000,-6133000,-6500000,-4684000
Net change in cash,7527000,2255000,4961000,2544000
Cash at beginning of period,37928000,40231000,35270000,32725000
Cash at end of period,46189000,42487000,40231000,35270000
Operating Cash Flow,20460000,15719000,16750000,13734000
Capital Expenditure,-5050000,-4945000,-5492000,-5573000
Free Cash Flow,15410000,10774000,11258000,8161000
