Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-315,-315,-65,-132,-421
Acquisitions net,-,-,-,-2000,-13714
Purchases of investments,-223,-223,-,-,-
Net cash used for investing activites,-508,-508,-65,-2122,-14135
Common stock issued,-,-,-,-,61915
Common stock repurchased,-18,-18,-,-,-5939
Other financing activites,-30,-30,-,-,-21621
Net cash used privided by (used for) financing activities,-48,-48,-,-,46355
Net change in cash,3606,3606,1205,-9709,16511
Cash at beginning of period,9933,9933,8728,18437,1926
Cash at end of period,13539,13539,9933,8728,18437
Capital Expenditure,-315,-315,-65,-132,-421
Free Cash Flow,3847,3847,1205,-7719,-16130
