Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Net Income,1767000,1822000,1487000,1550000,878000
Depreciation & amortization,-,3928000,3445000,3177000,3120000
Change in working capital,-,-12000,2078000,-1575000,-315000
Inventory,-,-532000,-372000,-135000,115000
Other working capital,-,142000,1609000,-1611000,2167000
Other non-cash items,-,-620000,96000,293000,329000
Net cash provided by operating activites,-,4922000,7488000,4937000,6493000
Investments in property plant and equipment,-,-4780000,-5879000,-6548000,-4326000
Purchases of investments,-,-95000,-310000,-1219000,-1000
Sales/Maturities of investments,-,28000,16000,-,-
Other investing activites,-,-296000,-31000,-12000,-93000
Net cash used for investing activites,-,-4889000,-6203000,-7541000,-4639000
Net change in cash,-,-1832000,9028000,-19000,-692000
Cash at beginning of period,-,13976000,4928000,4946000,5638000
Cash at end of period,-,12144000,13976000,4928000,4946000
Operating Cash Flow,-,4922000,7488000,4937000,6493000
Capital Expenditure,-,-4780000,-5879000,-6548000,-4326000
Free Cash Flow,-,142000,1609000,-1611000,2167000
