Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-19.185,-24.591
Net cash used for investing activites,-,-,-,-19.185,-24.591
Debt repayment,-,-,-,-1000,-
Common stock issued,-,-,308.159,70,109.8
Net cash used privided by (used for) financing activities,287.868,280,358.159,285,214.8
Net change in cash,40.731,10.386,-33.126,18.819,-4.25
Cash at beginning of period,9.293,13.469,46.595,27.774,32.024
Cash at end of period,50.024,23.855,13.469,46.593,27.774
Capital Expenditure,-,-,-,-19.185,-24.591
Free Cash Flow,-247.137,-269.614,-391.285,-266.181,-219.05
