Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-463000,5232000,8081000,7389000
Depreciation & amortization,-,5035000,4868000,4526000
Change in working capital,-,-1720000,-2336000,5870000
Inventory,-,-2512000,-1534000,1829000
Other working capital,-,3216000,6204000,13012000
Other non-cash items,-,1124000,2083000,1879000
Net cash provided by operating activites,-,8985000,9739000,18111000
Investments in property plant and equipment,-,-5769000,-3535000,-5099000
Purchases of investments,-,-10000,-10000,-10000
Sales/Maturities of investments,-,0,126000,345000
Other investing activites,-,-716000,-856000,-621000
Net cash used for investing activites,-,-6440000,-3231000,-4158000
Net change in cash,-,-4047000,-10721000,-5133000
Cash at beginning of period,-,26169000,36890000,42023000
Cash at end of period,-,22122000,26169000,36890000
Operating Cash Flow,-,8985000,9739000,18111000
Capital Expenditure,-,-5769000,-3535000,-5099000
Free Cash Flow,-,3216000,6204000,13012000
