Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-18075,-21121,-16374,-12548,-2047
Other investing activites,-,-3087,298.491,494.439,851.111
Net cash used for investing activites,-21168,-24208,-16066,-12044,804.609
Common stock issued,19230,35370,17221,14249,3258
Net cash used privided by (used for) financing activities,21457,35370,17211,14249,3258
Net change in cash,-2815,8006,-1171,-186.493,1044
Cash at beginning of period,4054,261.319,1432,1619,574.81
Cash at end of period,1239,8267,261.319,1432,1619
Capital Expenditure,-18075,-21121,-16374,-12548,-2047
Free Cash Flow,-21180,-24278,-18691,-14940,-5065
