Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-523.072,-939.999,-664.286
Acquisitions net,-8861,-29991,-1590
Purchases of investments,-,-,-2307
Net cash used for investing activites,-11114,-30391,-4559
Debt repayment,-2923,-903.263,-28013
Common stock issued,-,20000,25000
Common stock repurchased,-,-888.519,-1502
Dividends Paid,-5287,-4599,-
Other financing activites,-,-1247,-
Net cash used privided by (used for) financing activities,3585,36020,-1885
Net change in cash,-1002,16486,13.657
Cash at beginning of period,6300,4807,4852
Cash at end of period,5298,21328,4807
Capital Expenditure,-523.072,-939.999,-664.286
Free Cash Flow,6004,9916,5794
