Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4100083,3541692,2767687,1854335
Liabilities,,,,
Total Liabilities,3795170,3252957,2543560,1700393
Stockholders' Equity,,,,
Common Stock,219423,227587,172043,119506
Retained Earnings,99681,77689,57103,43704
Accumulated other comprehensive income,-14191,-16541,-5019,-9268
Total stockholders' equity,304913,288735,224127,153942
Total liabilities and stockholders' equity,4100083,3541692,2767687,1854335
