Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,627977,1495140,426663,-454097
Depreciation & amortization,-,1194562,1407956,2104424
Change in working capital,-,-832014,-1168866,-367014
Inventory,-,-893146,-456775,40984
Other working capital,-,360728,1280016,1379674
Other non-cash items,-,225885,-42141,359996
Net cash provided by operating activites,-,1417583,1767917,2127581
Investments in property plant and equipment,-,-1056855,-487901,-747907
Purchases of investments,-,-565,-558,-99877
Sales/Maturities of investments,-,-,3,-
Other investing activites,-,-47766,-29245,9669
Net cash used for investing activites,-,-524739,-517701,-838115
Net change in cash,-,-197052,-337614,217535
Cash at beginning of period,-,1552378,1889993,1672458
Cash at end of period,-,1355326,1552378,1889993
Operating Cash Flow,-,1417583,1767917,2127581
Capital Expenditure,-,-1056855,-487901,-747907
Free Cash Flow,-,360728,1280016,1379674
