Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-92500,-92500,-76100,-54800,-38500
Acquisitions net,-,-,-,-355000,-
Other investing activites,-400,-400,-6400,-,-
Net cash used for investing activites,-92700,-92700,-82200,-409600,-32100
Debt repayment,-232600,-232600,-9000,-125000,-155000
Common stock repurchased,-1300,-1300,-1100,-,-
Dividends Paid,-131600,-131600,-147700,-164000,-161900
Net cash used privided by (used for) financing activities,-196100,-196100,-226900,154000,-278800
Net change in cash,12600,12600,21500,-7100,13900
Cash at beginning of period,49300,49300,27800,34900,21000
Cash at end of period,61900,61900,49300,27800,34900
Capital Expenditure,-92500,-92500,-76100,-54800,-38500
Free Cash Flow,208900,208900,254500,193700,286300
