Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,12302000,15600000,13115000,11115000
Depreciation & amortization,-,15766000,16403000,16187000
Change in working capital,-,1041000,107000,721000
Inventory,-,784000,-69000,41000
Other working capital,-,8725000,15293000,10889000
Other non-cash items,-,1019000,1087000,1016000
Net cash provided by operating activites,-,30221000,33303000,33076000
Investments in property plant and equipment,-,-21496000,-18010000,-22187000
Acquisitions net,-,-,-5142000,-
Purchases of investments,-,-181000,-,-
Sales/Maturities of investments,-,61000,5000,6135000
Other investing activites,-,-1509000,131000,-413000
Net cash used for investing activites,-,-14192000,-22841000,-16331000
Net change in cash,-,6702000,-11518000,9007000
Cash at beginning of period,-,49736000,61254000,52247000
Cash at end of period,-,56439000,49736000,61254000
Operating Cash Flow,-,30221000,33303000,33076000
Capital Expenditure,-,-21496000,-18010000,-22187000
Free Cash Flow,-,8725000,15293000,10889000
