Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017
Net Income,-39000,29000,149000,708000
Depreciation & amortization,-,1254000,1053000,1205000
Change in working capital,-,-473000,-52000,-466000
Inventory,-,-737000,-492000,-766000
Other working capital,-,-1373000,-347000,-743000
Other non-cash items,-,335000,-174000,87000
Net cash provided by operating activites,-,911000,1493000,1322000
Investments in property plant and equipment,-,-2284000,-1840000,-2065000
Acquisitions net,-,-11000,-,-
Purchases of investments,-,-,-,-43000
Sales/Maturities of investments,-,-,-,100000
Other investing activites,-,-487000,-628000,-484000
Net cash used for investing activites,-,-2065000,-2468000,-2463000
Net change in cash,-,240000,-99000,-595000
Cash at beginning of period,-,1594000,1693000,2289000
Cash at end of period,-,1834000,1594000,1693000
Operating Cash Flow,-,911000,1493000,1322000
Capital Expenditure,-,-2284000,-1840000,-2065000
Free Cash Flow,-,-1373000,-347000,-743000
